EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
370.30307	359.45956	155.11397	524.8359	-74.50082	2040.0118	718.1016	2604.6292	-349.27228	500.0	10.843501	359.45956	100000	1091.7745985984802
555.0568	498.71136	112.61949	632.06573	-57.87483	2693.3782	310.18253	3063.0002	-300.81036	500.0	56.345436	498.7114	200000	2382.0849056243896
635.7687	611.2254	127.3317	797.9535	-58.2734	3278.937	541.9345	3838.5022	-355.59085	500.0	24.543262	611.2254	300000	3661.583005428314
794.56854	769.8384	164.46411	983.00824	-75.16975	4243.914	754.3047	4878.2363	-300.71964	500.0	24.730146	769.8384	400000	4948.400904178619
933.0775	869.337	169.28401	1106.0209	-82.95353	4903.6357	680.7937	5470.0376	-433.1436	500.0	63.74049	869.33704	500000	6245.291068315506
1020.7253	954.2869	164.64441	1188.8741	-69.26565	5296.6616	624.47437	5841.3853	-356.19254	500.0	66.438324	954.287	600000	7537.1939516067505
1063.624	983.3572	169.6749	1239.9911	-66.18373	5512.741	582.33844	6082.2544	-413.519	500.0	80.26686	983.3572	700000	8837.13976430893
1092.278	1008.0795	174.81929	1215.7954	-76.2911	5586.822	727.86395	6108.833	-351.63174	500.0	84.198425	1008.0795	800000	10136.325958013535
1107.032	1020.7549	188.40833	1220.3114	-86.55353	5594.0356	690.2422	6060.537	-402.67023	500.0	86.27711	1020.7549	900000	11431.09171295166
1123.7981	1042.9445	191.93486	1246.8025	-59.083694	5689.634	782.72833	6209.215	-326.13535	500.0	80.853584	1042.9445	1000000	12730.48130607605
1167.6445	1103.8545	162.896	1272.8214	-59.4052	5934.193	629.9892	6340.2656	-300.00415	500.0	63.790035	1103.8545	1100000	14029.39078259468
1193.8948	1141.406	154.85725	1286.6432	-59.194035	6078.358	570.4031	6436.259	-300.15714	500.0	52.4888	1141.406	1200000	15335.7435734272
1227.6813	1155.6127	130.38289	1285.9429	-59.87108	6034.158	547.07227	6406.743	-300.21408	500.0	72.06861	1155.6127	1300000	16652.081921339035
1248.7051	1199.7878	143.05031	1335.5745	-61.953632	6291.078	686.91986	6722.446	-350.1562	500.0	48.917194	1199.7878	1400000	17963.626163482666
1266.184	1206.7703	125.61509	1330.4646	-133.09698	6286.939	570.73456	6650.879	-718.87836	500.0	59.413628	1206.7704	1500000	19285.393891334534
1284.0609	1221.6848	129.4313	1338.8461	-58.23403	6374.0063	594.3818	6704.7144	-300.81476	500.0	62.376038	1221.6848	1600000	20596.959784030914
1298.0975	1206.833	106.56481	1328.8328	222.87575	6268.189	383.3646	6575.56	34.148834	500.0	91.26463	1206.8329	1700000	21913.64638710022
1299.9651	1207.6295	134.41606	1347.8472	-59.349434	6311.694	522.1333	6735.4214	-301.11798	500.0	92.33551	1207.6296	1800000	23237.601547956467
1312.6555	1227.3268	154.99521	1380.7689	-58.336136	6421.128	670.0122	6814.751	-301.70554	500.0	85.32867	1227.3269	1900000	24562.882341861725
1331.1927	1254.4482	135.7976	1373.4489	-79.578766	6513.794	621.19476	6914.7334	-460.65143	500.0	76.74458	1254.4481	2000000	25884.897758722305
1358.4124	1272.2937	134.76654	1419.9312	-38.72889	6621.317	623.6997	7110.206	-221.14539	500.0	86.11871	1272.2936	2100000	27210.291471004486
1380.6235	1326.5997	167.81407	1469.1262	-82.39634	7130.023	803.29224	7428.5356	-404.55527	500.0	54.023697	1326.5999	2200000	28532.865941524506
1410.5583	1320.675	173.28072	1469.3846	-103.35954	6983.449	691.9139	7372.9185	-437.87598	500.0	89.88335	1320.675	2300000	29857.5560836792
1440.671	1340.6007	195.06825	1513.6036	-77.06586	6805.327	1337.6823	7714.982	-346.9995	500.0	100.07029	1340.6007	2400000	31184.27023744583
1479.0043	1381.6112	184.5072	1544.8542	-59.97645	7369.742	794.97186	7735.5273	-303.0565	500.0	97.393	1381.6113	2500000	32501.79794716835
1509.9513	1424.8712	230.05754	1595.0109	-69.50186	7764.4526	1077.9038	8116.141	-368.46326	500.0	85.08009	1424.8712	2600000	33821.811091184616
1552.8516	1374.4835	251.70917	1558.1077	-80.6335	7278.283	1325.2131	7809.8677	-412.22354	500.0	178.3681	1374.4834	2700000	35143.58809876442
1573.2701	1437.6208	189.0851	1599.9913	-53.25306	7781.687	715.95886	8058.163	-300.22906	500.0	135.6493	1437.6208	2800000	36470.19392299652
1590.9064	1434.9661	223.59375	1600.1534	-78.27416	7727.792	965.01044	8051.1997	-300.87192	500.0	155.94025	1434.9662	2900000	37801.30831384659
1599.5232	1431.1577	243.80525	1591.1448	-51.716595	7626.8047	1137.0648	7978.758	-298.02374	500.0	168.36548	1431.1577	3000000	38949.98347854614
