EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
199.4207	346.1536	217.20757	576.8024	-66.37219	1909.3225	1161.7249	2807.1992	-298.3046	500.0	-146.73291	346.1536	100000	1083.801700592041
401.48364	545.8237	214.6899	749.8981	-20.596869	2961.2744	1133.5919	3669.853	-59.365734	500.0	-144.3401	545.8237	200000	2362.49063372612
495.7589	634.2276	195.81342	795.55475	-19.181046	3383.7725	1017.92175	4018.695	-51.03488	500.0	-138.46869	634.2276	300000	3641.8888239860535
551.9189	707.00836	193.33734	867.0978	-35.381527	3819.5178	997.0005	4388.5723	-133.18712	500.0	-155.0895	707.00836	400000	4929.974160909653
587.362	744.9989	199.9998	904.234	-15.006162	4003.1445	1023.3791	4596.813	-44.68819	500.0	-157.63686	744.99884	500000	6208.251034021378
629.23755	793.165	172.34947	938.9508	-10.115408	4261.805	861.51984	4744.9434	-40.849476	500.0	-163.92741	793.165	600000	7500.1499881744385
669.63403	847.8563	168.24968	1003.52136	-24.28484	4562.442	830.105	5002.217	-84.0409	500.0	-178.22227	847.8563	700000	8780.133130311966
702.25214	885.43835	182.46078	1037.9618	-37.26678	4760.5903	913.5373	5264.694	-174.09929	500.0	-183.18622	885.43835	800000	10058.480204582214
734.304	949.335	185.44019	1114.5295	-41.72984	5130.4375	934.41766	5622.558	-185.51756	500.0	-215.03102	949.335	900000	11341.522150039673
766.312	962.8761	159.1939	1132.0248	-46.683582	5221.106	748.08075	5650.4614	-233.09923	500.0	-196.56412	962.8761	1000000	12636.085078001022
828.2372	1053.1981	66.84106	1185.389	200.6707	5661.477	209.9303	5990.353	55.55805	500.0	-224.9609	1053.1981	1100000	13930.284111976624
864.8913	1071.2305	71.86748	1201.675	-42.537216	5707.073	221.31906	6058.5137	-230.74901	500.0	-206.3392	1071.2305	1200000	15220.847024679184
893.1192	1100.3202	70.673874	1228.2668	777.2162	5831.8545	128.33998	6160.6445	5287.1953	500.0	-207.2011	1100.3203	1300000	16510.925770998
916.7348	1121.5637	77.80216	1252.8256	207.80298	5921.799	302.18744	6289.376	48.056946	500.0	-204.82889	1121.5637	1400000	17813.861982107162
942.7869	1152.948	66.367195	1290.9921	683.9457	6064.609	135.90439	6419.7217	5345.843	500.0	-210.16118	1152.9481	1500000	19108.88393354416
961.04767	1168.5303	87.4853	1299.8368	-53.14708	6143.8726	363.50137	6472.5327	-301.3576	500.0	-207.48259	1168.5303	1600000	20392.191563129425
979.85333	1177.6263	74.738686	1315.3092	208.62444	6169.8936	298.1007	6540.4106	23.19669	500.0	-197.77306	1177.6263	1700000	21685.63271999359
990.8147	1203.7648	90.9782	1332.7828	19.473032	6298.2803	352.29175	6673.234	-211.18614	500.0	-212.95	1203.7646	1800000	22984.149231910706
1008.53204	1265.288	92.94559	1392.1732	-69.086044	6667.627	418.87238	7026.401	-310.79666	500.0	-256.7559	1265.288	1900000	24289.47103691101
1025.4661	1304.9255	102.5664	1438.4412	-53.9212	6871.82	452.02914	7244.039	-340.67242	500.0	-279.45953	1304.9257	2000000	25595.889343738556
1046.7903	1330.8105	110.10986	1495.7709	-67.84615	7050.522	415.24698	7561.487	-300.0079	500.0	-284.0202	1330.8105	2100000	26897.417229175568
1050.425	1326.5975	146.57349	1485.304	-65.34917	7006.4233	781.2777	7435.493	-300.52127	500.0	-276.1724	1326.5974	2200000	28207.68949317932
1071.687	1375.1965	131.30162	1536.3704	-62.88687	7368.8813	557.27203	7843.385	-300.0148	500.0	-303.50943	1375.1964	2300000	29514.912196159363
1086.9219	1389.4507	163.36958	1545.1703	-60.98168	7427.746	749.7998	7790.17	-300.25693	500.0	-302.52875	1389.4506	2400000	30812.00889658928
1105.3198	1408.7161	126.4348	1581.3375	-59.735294	7508.774	546.2121	7960.3584	-289.34497	500.0	-303.3962	1408.7161	2500000	32112.066348791122
1102.3601	1427.9568	205.87646	1590.8213	-61.399147	7628.4604	995.3573	8059.8384	-300.4011	500.0	-325.59662	1427.9568	2600000	33426.38586473465
1129.196	1442.9812	172.80711	1604.341	-55.948345	7609.091	808.8953	8046.9214	-300.0268	500.0	-313.78528	1442.9813	2700000	34744.25799822807
1133.4922	1470.602	185.2504	1618.0482	-61.74551	7841.255	839.32684	8218.341	-300.37427	500.0	-337.10977	1470.6019	2800000	36050.30956888199
1144.8225	1447.0342	178.28429	1597.1382	-62.70711	7598.242	870.4789	8030.5537	-321.7831	500.0	-302.2116	1447.0342	2900000	37363.679527282715
1157.2206	1475.8219	163.09242	1629.5444	-57.98145	7868.3833	766.7875	8285.13	-301.4301	500.0	-318.6013	1475.8219	3000000	38592.685936927795
