EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
337.61865	321.7656	171.78189	495.53647	-80.20965	1788.892	906.8658	2431.8064	-324.5277	500.0	15.8530655	321.7656	100000	1265.733883857727
550.0879	509.4459	145.59132	670.50714	-79.98665	2831.1897	512.5371	3246.3132	-363.3229	500.0	40.641964	509.44592	200000	2730.682538986206
732.14844	659.0665	182.50171	884.4625	-81.43397	3651.312	677.16144	4389.41	-473.36203	500.0	73.08199	659.06647	300000	4249.002779483795
857.2992	780.3657	159.54727	970.65247	-99.41621	4314.997	507.29175	4792.271	-400.9608	500.0	76.9335	780.36566	400000	5777.47927570343
921.9653	856.4636	137.1845	1024.8743	173.39072	4739.243	248.53693	5157.1904	2716.0989	500.0	65.50159	856.4637	500000	7292.310143709183
950.0397	869.8366	141.84415	1100.279	-54.849773	4758.158	345.40552	5390.487	-299.27438	500.0	80.20305	869.8366	600000	8780.866684675217
980.3663	919.2971	164.59843	1110.1906	-104.35882	5024.945	582.4979	5530.2646	-374.51636	500.0	61.069187	919.29706	700000	10257.829005479813
1009.57214	952.8791	141.21443	1117.9226	-107.91962	5138.637	455.92398	5604.5605	-367.2099	500.0	56.69307	952.8791	800000	11774.853622674942
1034.3845	983.7908	139.25584	1156.0228	-81.69031	5317.3364	401.09518	5771.207	-365.38977	500.0	50.59376	983.7908	900000	13291.912267446518
1044.8612	985.94507	136.18884	1162.0867	-78.281906	5323.057	352.27896	5801.4937	-344.45224	500.0	58.91613	985.94507	1000000	14816.102246046066
1087.1914	1036.1326	83.16141	1163.9264	317.9802	5458.792	168.13203	5858.1685	4118.598	500.0	51.058796	1036.1326	1100000	16342.021446704865
1123.8073	1079.6584	79.81268	1199.7556	-44.78304	5657.8257	310.8879	6024.6084	-287.43082	500.0	44.148674	1079.6586	1200000	17865.41262769699
1151.6211	1106.1709	92.05248	1230.4026	-91.98839	5761.822	447.28604	6202.004	-464.54938	500.0	45.450222	1106.1709	1300000	19371.118258953094
1174.1027	1125.4077	100.45854	1258.2368	-29.960228	5848.3447	429.71786	6394.055	242.51907	500.0	48.69501	1125.4076	1400000	20874.197484731674
1201.3671	1124.5933	119.19878	1258.1656	-65.2228	5778.998	619.16345	6307.1763	-277.76025	500.0	76.7739	1124.5931	1500000	22389.604573726654
1229.6378	1166.588	99.87173	1298.1084	-55.17806	6072.7627	440.9092	6506.973	-300.03046	500.0	63.049877	1166.5879	1600000	23919.800507068634
1250.4828	1185.056	117.09893	1338.7408	-54.678196	6183.5703	455.516	6628.708	-297.388	500.0	65.42679	1185.056	1700000	25460.700154304504
1268.6696	1202.6971	117.12972	1330.1361	-59.59033	6283.5254	501.86194	6683.453	-301.36465	500.0	65.972404	1202.6971	1800000	26977.87470960617
1296.0208	1237.9022	133.9963	1389.0043	-50.72445	6443.2646	651.5398	6971.73	-293.5788	500.0	58.118454	1237.9023	1900000	28513.607382535934
1326.4016	1246.7363	147.65236	1437.52	-74.963554	6556.577	665.06104	7402.958	-346.96094	500.0	79.665245	1246.7363	2000000	30043.56594991684
1379.126	1299.8176	146.7282	1473.9288	-79.19901	6785.925	756.09015	7395.3916	-430.63715	500.0	79.308395	1299.8176	2100000	31555.35147690773
1420.7566	1325.4308	133.17355	1496.3279	-77.85227	6984.053	633.94543	7731.561	-489.9753	500.0	95.32574	1325.4309	2200000	33072.54697394371
1457.9098	1344.6515	144.32623	1518.9377	-66.35456	7119.349	667.6494	7613.7534	-312.2464	500.0	113.25826	1344.6515	2300000	34589.00743103027
1471.9031	1361.508	191.19751	1555.1361	-63.221966	7220.906	886.0137	7935.659	-304.63968	500.0	110.39508	1361.5079	2400000	36110.75426697731
1497.556	1356.2174	180.93184	1513.8619	-103.44995	7201.118	727.5437	7624.347	-306.68314	500.0	141.33865	1356.2174	2500000	37631.14303255081
1513.759	1394.9523	179.49179	1575.1095	-101.957855	7406.318	732.36847	7899.894	-360.3298	500.0	118.80671	1394.9523	2600000	39156.47003078461
1533.3534	1416.544	170.25845	1589.7378	-107.10517	7364.473	1018.626	8037.826	-515.10864	500.0	116.80937	1416.5441	2700000	40437.36163020134
1549.7378	1417.5005	205.89822	1588.5023	-76.38558	7495.82	1017.5136	8050.109	-481.3521	500.0	132.2373	1417.5005	2800000	41670.46408820152
1553.5295	1455.805	242.97484	1628.2401	-86.6359	7866.493	1187.3075	8261.466	-448.82477	500.0	97.72449	1455.805	2900000	42906.355469703674
1572.7858	1426.4435	206.35986	1618.7556	-116.62759	7453.3057	1023.292	8124.811	-604.03284	500.0	146.34236	1426.4434	3000000	43988.44247984886
