EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
426.36188	411.3463	125.75168	573.9774	-101.1594	2389.0767	438.88855	2853.5881	-420.95816	500.0	15.015579	411.3463	100000	1130.0623667240143
679.5519	650.6342	142.82289	827.12317	-76.471275	3667.334	398.3466	4112.8486	-285.8147	500.0	28.917704	650.63416	200000	2465.0422213077545
878.20306	832.036	156.12263	1035.9579	-103.79257	4659.022	468.78824	5192.3555	-286.83994	500.0	46.167072	832.036	300000	3790.068419933319
977.5844	908.33746	165.19215	1122.3744	-43.414207	5043.387	391.37048	5455.5425	-298.22534	500.0	69.24696	908.33746	400000	5129.069731235504
1035.0299	954.0854	155.81194	1182.0032	-80.02619	5238.3076	422.7751	5814.0337	-395.51263	500.0	80.94454	954.0854	500000	6443.0376760959625
1077.0825	1014.7169	153.56856	1201.4188	-98.72825	5559.0444	399.28378	6002.17	-427.34238	500.0	62.365578	1014.7169	600000	7759.631746292114
1106.7705	1031.529	149.92088	1214.0662	-92.901665	5611.329	408.9879	6011.0547	-422.33218	500.0	75.24154	1031.5289	700000	9080.362438440323
1131.2905	1073.4905	147.52089	1253.6508	-66.6898	5829.013	394.36084	6265.785	-343.48883	500.0	57.800076	1073.4905	800000	10402.070860624313
1140.4635	1081.8156	173.06007	1268.2091	-117.704796	5881.642	468.45297	6304.9346	-610.1797	500.0	58.64795	1081.8156	900000	11709.055779218674
1172.4001	1109.4799	153.90292	1279.5803	-59.396584	5947.212	432.80386	6380.171	-299.66913	500.0	62.920265	1109.4799	1000000	13020.83043718338
1217.9226	1166.1586	95.540924	1302.4287	27.069426	6146.9077	274.56485	6519.0493	62.87121	500.0	51.7639	1166.1587	1100000	14341.161989688873
1250.9071	1167.7181	94.701416	1300.5402	96.60489	6047.5796	342.3879	6547.1797	1078.0159	500.0	83.189	1167.7181	1200000	15666.270920276642
1276.1019	1223.797	109.30549	1352.9114	-39.92273	6430.763	327.8848	6746.471	-251.98836	500.0	52.304886	1223.797	1300000	17000.011686563492
1298.0481	1218.2428	118.28014	1356.2709	7.1827064	6333.003	561.8388	6790.816	-226.96545	500.0	79.80538	1218.2427	1400000	18330.297183036804
1316.0659	1249.0	126.55749	1384.164	-49.168865	6509.372	601.491	7012.1143	-227.73529	500.0	67.065865	1249.0	1500000	19662.697105407715
1332.968	1268.9763	166.04378	1407.5823	-65.96752	6620.5396	831.7824	7135.409	-324.33798	500.0	63.991657	1268.9763	1600000	20994.844269752502
1364.4753	1291.6877	161.02385	1452.7506	-64.27342	6793.967	723.51025	7184.753	-309.38235	500.0	72.78751	1291.6879	1700000	22326.20635485649
1399.8278	1291.1014	158.82547	1438.5958	-96.63791	6709.245	789.95197	7148.35	-434.5021	500.0	108.726295	1291.1014	1800000	23665.125229358673
1430.5173	1358.6104	154.48927	1521.5647	-96.5306	7126.475	912.0037	7790.541	-526.9416	500.0	71.90697	1358.6104	1900000	25005.282903432846
1455.8413	1390.3745	196.72115	1534.0327	-59.147453	7505.8604	1013.2117	7816.6284	-302.76956	500.0	65.46683	1390.3745	2000000	26341.292583703995
1483.368	1383.3085	167.23703	1521.3032	-55.25802	7424.936	684.95056	7682.4097	-300.00848	500.0	100.05957	1383.3085	2100000	27681.9369699955
1510.2603	1405.5602	220.83324	1553.0797	-54.107796	7537.254	1090.4248	7862.478	-298.7304	500.0	104.700134	1405.56	2200000	29030.943592071533
1541.284	1475.408	174.25122	1603.7915	-61.736332	7996.682	836.5947	8274.124	-368.41342	500.0	65.87612	1475.408	2300000	30366.227499961853
1560.4707	1457.889	174.23032	1588.3335	-56.132816	7801.784	809.14386	8041.421	-302.23505	500.0	102.581635	1457.889	2400000	31709.056498527527
1576.1888	1425.6948	197.07417	1562.3445	-100.727234	7554.491	918.3415	7820.621	-560.0731	500.0	150.49403	1425.6948	2500000	33043.55446457863
1593.0774	1445.619	182.75534	1567.4698	-74.62221	7661.7515	744.9025	7881.027	-358.85516	500.0	147.45844	1445.619	2600000	34393.03217792511
1605.5311	1490.815	215.14159	1635.0175	-87.95972	8033.07	973.81964	8323.378	-465.2146	500.0	114.71615	1490.815	2700000	35745.94549655914
1634.5928	1482.7903	167.31801	1599.5137	-78.749374	7867.849	769.5707	8088.8726	-385.37927	500.0	151.80249	1482.7903	2800000	37104.73876976967
1643.3083	1472.6782	223.10374	1621.5747	-59.499832	7779.89	1049.9379	8095.466	-334.455	500.0	170.63016	1472.6782	2900000	38456.71733832359
1647.4526	1482.8136	238.59921	1633.9913	-68.52336	7923.423	1119.122	8250.956	-335.62772	500.0	164.639	1482.8136	3000000	39695.929161310196
