EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
208.19626	375.43344	187.2348	573.6927	-63.81342	2081.009	1003.8958	2791.8047	-250.43892	500.0	-167.23714	375.4334	100000	1065.1747756004333
390.415	499.7925	183.2931	657.6383	-74.99986	2651.818	950.6005	3236.2493	-267.52563	500.0	-109.37748	499.79248	200000	2330.82533288002
475.83633	613.21826	179.58171	757.489	-58.758728	3224.208	964.268	3855.2776	-263.58377	500.0	-137.38194	613.21826	300000	3592.0822496414185
527.9041	686.43976	178.70781	852.3347	-56.640522	3651.14	940.23065	4191.634	-290.49493	500.0	-158.53564	686.43976	400000	4864.053194284439
582.5454	769.6051	186.52942	933.23474	-67.41118	4167.3887	958.3703	4691.766	-292.3805	500.0	-187.0597	769.6051	500000	6151.988308429718
632.5143	827.5155	185.41154	1007.8429	-80.96331	4476.797	972.39905	5072.2524	-446.61047	500.0	-195.00122	827.5155	600000	7427.3499665260315
671.71814	879.4917	184.87537	1054.2839	-55.55071	4794.445	967.68414	5323.8228	-259.8765	500.0	-207.77359	879.4917	700000	8718.857565879822
705.88403	907.1853	184.79285	1078.5839	-61.413998	4967.3506	922.59064	5465.599	-311.87778	500.0	-201.30127	907.1853	800000	10006.464026212692
729.8161	942.9625	179.25105	1124.2164	-22.291191	5193.2856	864.5394	5700.876	-47.111565	500.0	-213.14638	942.96246	900000	11298.1946144104
762.62537	970.64935	165.41916	1161.4379	-52.92841	5312.132	794.87695	5791.6978	-292.80176	500.0	-208.02396	970.6493	1000000	12593.623090028763
810.59094	1025.9508	114.42308	1180.4425	-62.64442	5542.933	517.04175	5902.6997	-309.8752	500.0	-215.35985	1025.9508	1100000	13872.179672002792
836.0332	1043.6301	135.42406	1190.9739	-55.601055	5574.436	664.626	5954.894	-295.51993	500.0	-207.59703	1043.6302	1200000	15160.72323679924
872.51355	1081.618	96.56242	1212.1376	-59.886185	5736.1035	399.16602	6076.806	-299.81924	500.0	-209.10445	1081.618	1300000	16442.688821077347
891.7274	1112.5713	104.50142	1246.5387	-63.99098	5907.224	447.73883	6307.7065	-304.9199	500.0	-220.84381	1112.5712	1400000	17741.37927222252
913.40265	1125.0751	137.04893	1268.6611	-66.00514	5926.522	679.54193	6370.071	-298.45245	500.0	-211.67249	1125.0752	1500000	19029.2066757679
937.89075	1136.6503	81.461624	1246.5786	-49.76376	5958.557	301.99356	6243.4805	-265.30835	500.0	-198.7595	1136.6503	1600000	20321.052807092667
948.8728	1159.7535	115.06998	1289.8721	-87.91966	6118.068	535.50134	6493.727	-349.6452	500.0	-210.8808	1159.7537	1700000	21612.173235177994
966.44666	1173.5865	118.47797	1303.3256	-74.97008	6116.923	550.92084	6462.8174	-325.1924	500.0	-207.13976	1173.5864	1800000	22910.583788871765
976.3719	1181.5107	125.3201	1295.3671	-70.683334	6147.698	745.9421	6576.2026	-346.351	500.0	-205.13881	1181.5107	1900000	24205.509535312653
983.6439	1195.056	117.80577	1319.6217	-77.97009	6253.28	512.9686	6617.163	-321.1362	500.0	-211.41211	1195.056	2000000	25506.86390042305
990.78357	1204.3077	136.01501	1352.3696	-50.23427	6306.5815	654.3149	6805.3105	-257.10312	500.0	-213.52423	1204.3079	2100000	26811.401123046875
1003.69763	1219.4675	122.4845	1367.0128	-72.25955	6358.767	567.15265	6751.008	-506.24823	500.0	-215.77	1219.4677	2200000	28121.862272024155
1012.83844	1222.0697	142.91505	1349.6893	-128.39447	6332.807	764.1654	6753.832	-722.1239	500.0	-209.2313	1222.0697	2300000	29433.510394334793
1021.5046	1242.475	124.778694	1366.3568	-51.97348	6465.827	663.39136	6899.2837	-296.1925	500.0	-220.97037	1242.475	2400000	30735.908106565475
1025.0599	1232.2008	155.06126	1380.232	-113.36063	6389.181	798.36224	6826.569	-544.6993	500.0	-207.14073	1232.2007	2500000	32039.255306959152
1024.3845	1246.6558	176.52168	1381.1879	-131.20274	6509.361	896.25934	6945.6304	-577.0053	500.0	-222.27141	1246.6559	2600000	33337.40453886986
1037.8901	1262.2635	134.01527	1401.4104	-78.17267	6602.7573	614.9131	7055.3066	-362.43906	500.0	-224.37328	1262.2634	2700000	34654.7486345768
1041.2942	1267.042	170.93431	1419.1296	-66.4123	6599.3096	884.3981	7099.4214	-371.4754	500.0	-225.74791	1267.0421	2800000	35972.545137643814
1053.1342	1264.7023	164.51006	1411.018	-62.27035	6583.26	850.6437	7023.0806	-300.4281	500.0	-211.56816	1264.7023	2900000	37289.633793115616
1055.115	1285.0715	166.24931	1448.5436	-60.006233	6693.136	861.9617	7165.794	-300.3962	500.0	-229.95647	1285.0714	3000000	38577.16368317604
