EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
174.27173	330.36444	170.84566	532.1595	-2.989322	1807.4846	928.17706	2677.5933	26.88104	500.0	-156.09273	330.36447	100000	1078.7051992416382
396.6684	571.6379	196.13467	750.57587	-13.66665	3145.9604	1030.3029	3860.0667	-38.907154	500.0	-174.96945	571.6378	200000	2345.480097770691
493.78046	680.6912	205.59518	875.7871	-71.0675	3712.8735	1055.3143	4375.7144	-287.18408	500.0	-186.91084	680.6913	300000	3624.5693895816803
564.27386	778.51965	196.41687	964.63666	-57.439808	4266.254	994.42303	4841.137	-295.43753	500.0	-214.24574	778.5196	400000	4893.787407875061
612.99475	845.879	204.14789	1030.4513	-54.958035	4633.046	1036.0697	5214.917	-291.21985	500.0	-232.88425	845.879	500000	6158.699195146561
646.62555	838.491	216.14445	1075.4962	-51.86539	4601.28	1080.0643	5365.5312	-291.59283	500.0	-191.8655	838.491	600000	7428.5231873989105
681.72876	919.1172	189.76944	1108.0432	-41.367027	5032.486	930.8821	5535.577	-226.39635	500.0	-237.38843	919.1172	700000	8699.787789106369
701.06866	923.13513	203.43085	1104.8365	-37.88368	5048.1235	1008.8676	5537.67	-164.20502	500.0	-222.06647	923.13513	800000	9978.447532176971
735.55664	976.8021	177.84108	1133.4547	-44.113445	5302.929	859.10974	5798.0474	-228.82138	500.0	-241.24548	976.8021	900000	11253.137184143066
748.4717	991.6136	185.9768	1178.78	-42.41453	5395.39	912.39935	5872.5684	-224.81631	500.0	-243.14189	991.6136	1000000	12532.38103556633
794.5188	1000.8979	90.82106	1135.9489	-60.691616	5323.497	325.95383	5696.463	-300.31116	500.0	-206.37909	1000.8979	1100000	13815.992414474487
826.228	1050.5939	94.38371	1166.2382	-56.828514	5569.3955	408.65622	5870.6157	-298.06522	500.0	-224.36575	1050.5938	1200000	15102.723849534988
852.07495	1050.7242	82.03637	1182.0577	-51.761574	5511.1973	327.57547	5952.7656	-291.07394	500.0	-198.64934	1050.7242	1300000	16384.871386528015
874.0613	1105.2883	73.6985	1209.5817	198.47137	5829.241	234.80249	6170.0327	9.5865965	500.0	-231.22716	1105.2885	1400000	17664.860973358154
887.88086	1108.2063	89.82011	1224.4072	-59.569695	5855.9136	337.78494	6154.721	-300.71872	500.0	-220.32535	1108.2062	1500000	18946.907473564148
911.9956	1137.6538	77.650925	1255.8069	577.25146	5994.387	374.0228	6306.583	630.6057	500.0	-225.6581	1137.6537	1600000	20227.741458415985
927.0258	1143.9755	110.867004	1260.9991	-79.68908	6039.4937	499.547	6380.722	-311.20618	500.0	-216.94963	1143.9755	1700000	21514.113505125046
935.0908	1164.0336	132.23221	1285.3773	-130.8064	6166.8955	606.38837	6500.1514	-418.46906	500.0	-228.9428	1164.0336	1800000	22811.65058350563
957.09644	1170.713	136.42514	1301.1315	-56.592514	6126.2075	820.0833	6584.292	-301.2315	500.0	-213.61652	1170.713	1900000	24109.6403799057
959.593	1196.0315	130.57227	1332.8899	-59.152546	6347.169	596.1258	6672.97	-299.51608	500.0	-236.43845	1196.0315	2000000	25415.536047697067
967.0267	1206.6942	132.13313	1327.954	-64.03697	6380.8794	604.46515	6706.1177	-301.07748	500.0	-239.66743	1206.6941	2100000	26712.861320257187
970.39795	1202.6198	150.66646	1358.1846	-61.39165	6376.209	713.85583	6805.6685	-301.22836	500.0	-232.22186	1202.6198	2200000	28012.822566986084
970.11206	1198.1538	153.61577	1353.6443	-75.111115	6356.038	711.1872	6825.67	-302.29623	500.0	-228.04176	1198.1538	2300000	29309.62276005745
964.2341	1211.5997	180.11725	1336.5614	-71.3113	6373.092	883.71075	6763.4067	-300.98224	500.0	-247.36563	1211.5997	2400000	30600.769243478775
967.1863	1203.5305	179.37695	1337.3044	-69.49088	6354.386	864.1991	6736.8584	-301.98917	500.0	-236.34415	1203.5304	2500000	31899.32836008072
991.7921	1257.4547	124.66417	1378.6699	-60.31284	6625.998	576.3511	7079.3594	-299.46323	500.0	-265.66263	1257.4547	2600000	33197.60877418518
980.38104	1250.9843	184.26537	1393.039	-64.54253	6618.87	906.1272	7066.5522	-300.7602	500.0	-270.60324	1250.9843	2700000	34500.096662282944
982.8312	1224.8174	200.86198	1387.1228	-64.8288	6500.6514	1007.6339	6964.126	-300.14246	500.0	-241.98616	1224.8174	2800000	35800.71154332161
994.93365	1246.608	194.85054	1418.9387	-64.2101	6563.9355	1014.6593	7079.327	-300.21	500.0	-251.67436	1246.608	2900000	37099.650978803635
985.4717	1258.4552	222.23784	1430.264	-63.734215	6605.978	1219.6367	7206.9956	-300.33932	500.0	-272.98352	1258.4552	3000000	38400.105707407
