EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
212.50087	369.99167	167.92287	536.26544	-29.996689	2011.3885	897.6229	2666.875	-262.88422	500.0	-157.49078	369.99167	100000	1098.6513035297394
379.72025	493.3719	170.71443	632.4306	-56.956966	2643.203	852.434	3194.5005	-292.7901	500.0	-113.65163	493.3719	200000	2363.7925612926483
460.75247	577.65045	151.39694	723.09204	-89.54751	3048.617	782.19257	3586.616	-431.5821	500.0	-116.898	577.65045	300000	3638.0857224464417
510.37558	656.6832	129.53342	796.92096	-112.69464	3571.9495	377.71307	4002.571	-381.9673	500.0	-146.30771	656.6833	400000	4919.350873231888
557.7631	754.835	133.89822	896.6877	-47.172676	4197.5674	351.8441	4544.615	-35.00268	500.0	-197.07196	754.8351	500000	6196.678217887878
614.787	798.46674	120.72658	959.0914	-16.094154	4420.39	272.4432	4755.937	195.79178	500.0	-183.6797	798.4667	600000	7474.344798564911
660.9166	868.56036	119.269875	1030.049	6.8726025	4844.203	265.835	5173.0815	937.6608	500.0	-207.64377	868.56036	700000	8765.911237478256
693.4053	900.2333	122.09764	1057.8032	-67.51776	5007.536	318.99915	5409.373	-397.54938	500.0	-206.82799	900.2333	800000	10043.560266256332
726.77563	941.6561	126.26424	1100.464	-65.6976	5217.647	282.828	5594.047	-330.59885	500.0	-214.88048	941.6561	900000	11327.670285463333
742.46576	954.1075	138.9394	1132.2015	-58.39286	5261.22	393.1429	5647.3765	-289.49765	500.0	-211.6417	954.1074	1000000	12625.193902730942
789.60675	981.3749	107.87734	1129.4846	-63.48301	5275.216	446.6418	5639.1016	-281.27808	500.0	-191.7681	981.3749	1100000	13918.14972782135
820.9713	1034.4933	111.30717	1178.5441	-60.14623	5548.7534	472.37674	5908.1787	-300.26367	500.0	-213.52193	1034.4933	1200000	15206.30723118782
852.95776	1057.37	94.12509	1215.5513	-56.11442	5648.379	379.9055	6048.6816	-312.41464	500.0	-204.41219	1057.37	1300000	16492.338099241257
880.67993	1073.9833	105.43542	1187.0742	-76.75146	5678.4233	393.60693	6018.853	-322.22607	500.0	-193.30339	1073.9833	1400000	17783.7331430912
900.53467	1085.8141	110.73041	1222.6138	-96.425354	5724.8965	494.93484	6143.911	-362.24368	500.0	-185.27945	1085.8141	1500000	19069.380733013153
921.562	1115.454	120.330315	1237.643	-89.720375	5841.6274	609.5902	6198.2725	-469.1085	500.0	-193.89195	1115.454	1600000	20345.40889620781
942.4382	1135.763	102.01696	1240.2491	-35.792953	5963.745	439.2826	6272.284	-258.37378	500.0	-193.32484	1135.7631	1700000	21632.667489767075
950.2013	1100.9872	110.17196	1221.48	-64.076775	5701.264	502.97775	6092.9644	-355.7519	500.0	-150.78575	1100.987	1800000	22925.374069929123
969.99414	1171.6713	108.17493	1298.0095	-6.7121863	6148.836	478.53357	6515.2837	-195.00836	500.0	-201.67706	1171.6713	1900000	24217.248334169388
981.5967	1176.0323	100.95784	1295.5806	227.81563	6138.393	496.27505	6503.5254	47.363716	500.0	-194.43571	1176.0323	2000000	25512.55916905403
990.95557	1170.068	140.31807	1297.8934	-55.506886	6086.357	819.7998	6519.0923	-299.99564	500.0	-179.11237	1170.068	2100000	26803.567905426025
999.69366	1199.9629	107.377594	1312.4694	-61.82461	6272.6455	476.65802	6615.4263	-299.9858	500.0	-200.2692	1199.9629	2200000	28097.609292030334
1009.22943	1202.127	133.9046	1325.453	-61.236485	6258.192	674.68567	6687.2144	-347.57507	500.0	-192.89758	1202.127	2300000	29386.42423272133
1015.15906	1212.7375	143.52553	1349.265	-60.315197	6313.701	781.92725	6773.561	-300.36502	500.0	-197.57846	1212.7375	2400000	30679.073225021362
1023.3053	1214.0946	130.01155	1336.7568	-70.99124	6310.653	689.45496	6663.1533	-281.3909	500.0	-190.78937	1214.0947	2500000	31977.32168698311
1031.5496	1230.8495	153.86102	1357.3094	-60.0322	6398.971	883.8441	6875.4243	-299.70303	500.0	-199.29997	1230.8495	2600000	33273.00429105759
1032.455	1237.5918	137.49118	1367.7716	-60.446888	6470.551	661.308	6811.2646	-299.90244	500.0	-205.13686	1237.5918	2700000	34577.30917072296
1034.4136	1240.9032	171.94186	1372.8923	-65.459785	6444.0264	970.2496	6954.2363	-308.58936	500.0	-206.48973	1240.9033	2800000	35875.46071100235
1030.3507	1252.2009	148.13048	1398.0792	-41.455254	6551.201	755.4395	7008.4023	-275.63052	500.0	-221.85019	1252.2009	2900000	37178.906690359116
1029.3466	1263.7025	141.67003	1417.1044	-70.21458	6613.8687	669.8623	7018.9175	-357.16632	500.0	-234.35593	1263.7025	3000000	38465.20083451271
