EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
215.29622	428.41928	201.30276	648.75494	-63.85616	2468.6848	1107.3596	3244.832	-260.74313	500.0	-213.12306	428.41928	100000	1076.3746645450592
447.05246	623.2864	181.68025	792.8274	-84.32943	3443.2954	919.36035	4048.585	-448.3107	500.0	-176.23395	623.2864	200000	2366.3570170402527
542.6464	709.10175	187.62653	881.4627	-110.91974	3882.7566	938.91644	4431.0415	-600.7857	500.0	-166.45535	709.1018	300000	3646.0343606472015
598.067	769.2656	180.52052	948.9797	-89.48704	4256.7915	885.7567	4772.458	-488.7909	500.0	-171.19865	769.2657	400000	4942.21888756752
646.79584	822.17786	163.1639	1010.43945	-75.33123	4510.202	772.4034	4995.032	-355.02676	500.0	-175.38205	822.17786	500000	6229.224431753159
669.5634	850.3403	190.2109	1071.6998	-59.56088	4640.154	953.3872	5206.523	-312.776	500.0	-180.77684	850.3403	600000	7523.596382141113
696.1722	883.531	195.77971	1057.9264	-66.01181	4803.55	961.5547	5327.4766	-323.23984	500.0	-187.35881	883.531	700000	8819.528084993362
730.53815	922.69116	152.1585	1070.1456	-67.21752	5013.935	693.9782	5420.1084	-308.3968	500.0	-192.15303	922.69116	800000	10121.9194149971
750.15717	934.9585	163.91942	1090.336	-61.696796	5025.145	779.1164	5479.2593	-301.36185	500.0	-184.80138	934.95856	900000	11422.113056659698
766.73376	952.2594	155.46373	1097.4514	-61.89637	5147.0796	710.10583	5557.562	-301.89542	500.0	-185.52557	952.25934	1000000	12723.396285772324
809.65607	1006.16864	73.33636	1120.5594	101.00665	5337.814	270.81024	5653.162	-115.38548	500.0	-196.51256	1006.16864	1100000	14019.385069847107
831.45953	1023.6767	109.58794	1138.6661	-63.164448	5413.943	494.07874	5752.91	-303.3395	500.0	-192.21721	1023.67676	1200000	15336.142049312592
861.3423	1065.2665	69.32437	1183.827	691.73047	5573.458	436.94815	5947.1606	1097.8395	500.0	-203.92427	1065.2666	1300000	16631.84114050865
878.8052	1107.5278	120.26102	1241.8551	-79.14841	5913.42	576.34503	6319.924	-404.71375	500.0	-228.72269	1107.5278	1400000	17936.961337327957
904.87616	1155.5499	146.73921	1314.5055	-58.77784	6219.731	722.72626	6671.0537	-299.46967	500.0	-250.6737	1155.5499	1500000	19255.71013855934
929.8463	1187.8027	119.97357	1323.5383	-61.69883	6341.9707	532.437	6694.2207	-301.43304	500.0	-257.95642	1187.8027	1600000	20566.299355983734
944.17865	1175.2432	144.1649	1313.9344	-60.265503	6222.4126	684.336	6606.832	-300.19635	500.0	-231.0645	1175.2432	1700000	21881.16809797287
968.07056	1251.4573	137.66963	1397.673	-60.20108	6710.6343	605.8197	7094.9844	-297.04092	500.0	-283.38666	1251.4573	1800000	23209.707017183304
993.1801	1259.7467	135.57468	1416.7898	-77.20926	6705.198	629.15424	7087.9253	-366.467	500.0	-266.56653	1259.7466	1900000	24531.886395454407
1005.5757	1278.226	161.2671	1445.7109	-62.37045	6830.896	781.48706	7355.1035	-297.72418	500.0	-272.65024	1278.226	2000000	25865.674526691437
1027.065	1292.3643	155.02563	1444.5383	-77.17445	6888.2417	694.09064	7265.6367	-396.44736	500.0	-265.29922	1292.3641	2100000	27193.119819402695
1037.8739	1299.4108	140.17723	1459.3844	-55.11803	6911.021	622.6659	7344.401	-295.6179	500.0	-261.5368	1299.4106	2200000	28513.77282643318
1047.4712	1332.5785	158.65594	1472.5187	-59.994102	7124.698	711.51733	7533.511	-300.8963	500.0	-285.1074	1332.5786	2300000	29855.054921865463
1065.3811	1347.5255	134.82227	1481.0507	-54.838844	7170.785	511.698	7532.0967	-269.6681	500.0	-282.14435	1347.5255	2400000	31209.991741657257
1079.6613	1355.2643	128.481	1492.7592	-60.180862	7185.75	462.6267	7545.761	-299.93213	500.0	-275.60306	1355.2643	2500000	32552.72091317177
1083.2838	1364.7998	163.62236	1497.7008	-75.651535	7257.3887	718.2901	7629.7188	-332.5612	500.0	-281.51596	1364.7998	2600000	33892.16744661331
1102.728	1389.2131	134.91898	1524.1322	-61.281456	7409.8325	606.96466	7715.641	-296.2421	500.0	-286.48517	1389.2133	2700000	35228.75227856636
1110.4437	1366.1653	117.66595	1492.3553	-54.527164	7174.134	442.11978	7473.978	-299.40036	500.0	-255.72148	1366.1652	2800000	36581.63118982315
1108.0669	1405.1147	172.6026	1534.8119	-65.65688	7441.42	815.1181	7804.242	-314.33273	500.0	-297.04788	1405.1147	2900000	37916.010117292404
1117.1912	1423.5162	150.30576	1552.2621	-68.17142	7534.764	785.53735	7903.012	-303.76822	500.0	-306.32516	1423.5164	3000000	38898.70205593109
