EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
356.3909	344.6825	121.31713	508.06848	-100.988014	2006.6501	347.46252	2458.103	-346.48938	500.0	11.708395	344.6825	100000	1072.1399190425873
614.39734	595.70197	131.17491	759.8812	-90.075584	3361.7883	283.38516	3762.8513	-380.24066	500.0	18.695368	595.70197	200000	2332.2711215019226
816.81134	792.68536	125.68262	972.29694	9.835579	4419.945	231.23401	4838.262	2187.5564	500.0	24.125973	792.68536	300000	3603.033352613449
947.91376	892.8236	150.4883	1099.396	39.342663	4946.2695	391.18542	5405.4854	917.6002	500.0	55.090176	892.8236	400000	4880.107531547546
1024.3121	947.16473	137.34216	1148.2089	221.2921	5171.869	357.89218	5650.351	1378.2113	500.0	77.14741	947.16473	500000	6151.384718179703
1063.4108	995.4932	140.49217	1176.5479	274.92755	5466.6616	258.49277	5902.3135	2012.97	500.0	67.917465	995.4933	600000	7432.913705587387
1095.7485	1028.6685	143.00755	1193.6112	10.29389	5617.924	259.12982	5976.427	1663.0795	500.0	67.08006	1028.6685	700000	8710.38309597969
1128.2958	1049.405	146.36555	1222.4738	147.16061	5687.487	247.61008	6068.147	3718.8418	500.0	78.890724	1049.405	800000	9990.378902435303
1154.6697	1096.178	155.14429	1272.8601	-49.71226	5945.954	370.71872	6302.6035	-404.8474	500.0	58.49172	1096.178	900000	11265.87346291542
1172.737	1107.642	140.24501	1280.8539	286.0017	5990.084	220.2401	6376.8413	4380.356	500.0	65.09503	1107.6421	1000000	12548.434192419052
1211.525	1149.961	127.14165	1286.3158	-62.84711	6075.462	513.5128	6481.608	-306.69525	500.0	61.5641	1149.9609	1100000	13827.856058597565
1240.9847	1169.3153	108.92124	1294.3398	-80.8424	6100.945	484.22598	6434.363	-327.90036	500.0	71.66946	1169.3153	1200000	15120.351170301437
1262.665	1145.9716	109.25999	1285.6589	-19.19666	5895.638	396.22818	6451.476	-193.72151	500.0	116.69352	1145.9716	1300000	16408.297606945038
1277.0426	1218.2827	96.91805	1343.0552	-58.94235	6332.606	296.558	6677.625	-310.73242	500.0	58.759766	1218.2828	1400000	17698.401124715805
1290.3468	1234.4303	152.0588	1359.4009	-65.66294	6426.2085	715.7901	6842.611	-315.0812	500.0	55.916527	1234.4303	1500000	19000.435139656067
1318.9274	1240.9806	130.21085	1366.2786	-91.667366	6428.099	532.0924	6831.547	-467.85117	500.0	77.94677	1240.9806	1600000	20295.527221679688
1330.8258	1256.9955	126.876396	1392.7708	-56.65496	6516.211	618.0099	6933.7524	-300.01303	500.0	73.83035	1256.9955	1700000	21596.239625692368
1334.1548	1244.0687	131.39555	1381.256	-85.229485	6475.631	457.75742	6831.554	-299.99966	500.0	90.086044	1244.0687	1800000	22894.806157827377
1350.7057	1266.859	155.08467	1403.1671	-109.94913	6584.6265	743.7202	6994.436	-417.77185	500.0	83.84674	1266.859	1900000	24201.931515216827
1362.2428	1267.9915	177.0241	1416.8425	-76.400154	6573.159	890.00195	7067.9688	-302.7576	500.0	94.25129	1267.9915	2000000	25515.584416866302
1384.89	1298.6361	186.18054	1450.1669	-60.159245	6812.503	849.0123	7257.579	-303.4682	500.0	86.25391	1298.6361	2100000	26828.286142110825
1406.2618	1337.3798	178.69623	1488.3971	-81.41807	6998.69	883.7414	7521.0923	-510.40063	500.0	68.88213	1337.3798	2200000	28147.845076084137
1414.4479	1374.9242	257.24127	1552.3622	-82.16767	7399.741	1245.4159	7850.4307	-360.557	500.0	39.52355	1374.9243	2300000	29467.48847436905
1446.0828	1377.6075	241.21974	1553.2296	-102.798	7341.549	1164.973	7866.3994	-574.2912	500.0	68.47525	1377.6075	2400000	30797.74137687683
1493.6147	1339.5847	250.43073	1583.4929	-73.41236	7222.6606	1366.3171	7940.085	-320.08508	500.0	154.03012	1339.5846	2500000	32107.035732269287
1521.978	1417.8071	267.50366	1596.5876	-77.21403	7609.973	1413.8859	8055.101	-330.1383	500.0	104.1709	1417.8071	2600000	33423.51075673103
1523.3431	1423.2635	308.08646	1608.8647	-105.34668	7624.085	1500.7483	8113.2646	-378.629	500.0	100.07957	1423.2635	2700000	34740.22876524925
1579.2798	1434.9504	234.51028	1605.1746	-118.01058	7656.592	1094.717	8088.469	-548.44354	500.0	144.32932	1434.9504	2800000	36057.7404961586
1593.904	1437.5251	280.50208	1620.6083	-65.32795	7707.87	1365.164	8146.858	-301.29083	500.0	156.37889	1437.5251	2900000	37367.50304222107
1620.7759	1494.1001	267.32294	1677.442	-93.57956	7997.136	1337.6343	8482.601	-429.2932	500.0	126.67575	1494.1001	3000000	38662.127074956894
