EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
206.21388	372.41214	183.52303	575.22156	-88.40516	2048.4026	982.3229	2800.0964	-451.12015	500.0	-166.19824	372.4121	100000	1064.8398916721344
419.78555	632.72345	225.38441	862.02057	-51.741154	3452.3926	1215.0657	4297.668	-294.13022	500.0	-212.93788	632.72345	200000	2331.4380326271057
559.21063	770.7531	220.28647	964.1328	-61.2754	4278.0986	1140.8108	4799.0684	-302.17963	500.0	-211.54251	770.7531	300000	3590.816010951996
642.102	847.8218	237.15578	1046.9471	-58.42694	4688.8535	1244.401	5277.528	-293.65903	500.0	-205.71979	847.8218	400000	4860.231684684753
697.94745	909.0868	210.15625	1094.9171	-57.78401	4967.1636	1054.284	5439.9824	-300.22888	500.0	-211.13942	909.08685	500000	6134.359290122986
726.02716	949.36566	216.59349	1122.7542	-59.300644	5184.8867	1093.8953	5663.0117	-291.933	500.0	-223.33852	949.36566	600000	7416.9710688591
748.2193	959.12225	212.8493	1127.1453	-60.004246	5216.272	1041.2958	5659.1763	-300.181	500.0	-210.90302	959.1223	700000	8700.69982457161
778.49677	974.4849	193.75333	1131.7997	-54.53253	5262.369	955.3359	5691.7603	-262.41275	500.0	-195.98816	974.4849	800000	9985.053818702698
795.72876	1004.2523	211.47939	1170.5034	-73.97056	5412.245	1089.2343	5892.918	-313.17014	500.0	-208.52357	1004.2523	900000	11271.127044677734
818.42694	1029.5002	200.5569	1201.9922	-55.79536	5552.959	1014.5936	5997.892	-283.43826	500.0	-211.07323	1029.5001	1000000	12557.493464946747
860.3757	1054.7653	187.67953	1202.9287	-60.860416	5585.5864	1047.8678	6031.7695	-300.58884	500.0	-194.38957	1054.7653	1100000	13839.95378279686
895.12244	1111.9403	118.31735	1223.522	59.492107	5859.151	627.2325	6174.673	-163.53214	500.0	-216.81787	1111.9403	1200000	15128.703754425049
916.75793	1102.3137	168.63289	1227.9185	-86.32762	5758.6294	961.7285	6183.9243	-455.8646	500.0	-185.55571	1102.3136	1300000	16418.593493700027
927.09094	1111.793	180.786	1243.6715	-59.16467	5824.776	1030.8008	6247.295	-308.93625	500.0	-184.70206	1111.793	1400000	17710.7008228302
943.37085	1126.5977	137.27414	1243.8287	-80.972664	5878.842	710.1592	6304.171	-420.79105	500.0	-183.22678	1126.5977	1500000	19008.198226213455
961.1697	1161.1945	108.86836	1273.8684	-60.45612	6092.085	456.85355	6409.5713	-300.11505	500.0	-200.02475	1161.1945	1600000	20305.332763671875
970.4267	1138.701	154.76057	1270.4133	-58.952362	5929.945	853.67957	6337.9214	-322.6127	500.0	-168.27428	1138.7009	1700000	21599.203392744064
971.51154	1158.4734	175.17332	1292.711	-63.306805	6047.1543	937.15753	6422.797	-300.05835	500.0	-186.96176	1158.4733	1800000	22899.887762784958
993.58716	1166.3328	196.21953	1303.4502	-63.4864	6058.296	1133.2708	6562.8613	-305.78098	500.0	-172.74565	1166.3328	1900000	24193.815262794495
996.24664	1203.1732	175.09778	1333.3904	-57.50592	6291.698	921.58716	6732.904	-299.15958	500.0	-206.92656	1203.1732	2000000	25496.758647680283
1009.0759	1207.3278	157.55269	1332.3237	-80.52461	6334.561	778.439	6709.4937	-382.63535	500.0	-198.25188	1207.3278	2100000	26798.168293476105
1013.4774	1190.7726	206.64752	1347.9329	-73.38786	6216.3667	1116.3243	6732.0933	-403.7083	500.0	-177.29527	1190.7727	2200000	28095.236166238785
1033.638	1239.3926	200.36334	1395.0087	-69.88032	6460.8887	1110.0416	7020.3105	-345.3339	500.0	-205.75473	1239.3927	2300000	29398.807316303253
1030.8948	1252.8048	211.59404	1402.0209	-60.509266	6576.242	1163.7426	7072.9756	-300.0081	500.0	-221.90987	1252.8047	2400000	30694.65141940117
1032.7277	1275.3802	211.00601	1448.5049	-64.90568	6682.8247	1199.2981	7235.2124	-322.20496	500.0	-242.65251	1275.3801	2500000	31994.54181909561
1043.6045	1296.474	205.72345	1458.7448	-78.03197	6817.356	1089.9641	7381.513	-383.31284	500.0	-252.86957	1296.474	2600000	33294.79115366936
1053.2208	1329.2982	223.27496	1512.9222	-72.77565	7090.381	1199.8827	7569.251	-356.45554	500.0	-276.0773	1329.2981	2700000	34592.9975733757
1059.7045	1352.5686	222.2451	1519.9181	-69.15725	7207.503	1169.9802	7612.897	-364.79593	500.0	-292.86414	1352.5686	2800000	35896.07422924042
1065.5067	1338.806	241.41672	1540.0093	-68.65201	7085.011	1303.7103	7673.564	-330.10855	500.0	-273.29935	1338.806	2900000	37204.24975824356
1084.4911	1385.9357	229.93755	1551.0072	-72.18386	7311.1904	1176.6779	7813.5464	-333.69046	500.0	-301.44455	1385.9357	3000000	38509.3957195282
