EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
368.33038	340.80234	194.6926	556.39954	-89.09309	1894.4285	1030.3859	2787.153	-556.2859	500.0	27.52804	340.80234	100000	1105.6714990139008
615.73114	553.80927	204.09068	736.44696	-84.11038	2975.8086	1041.4138	3615.2883	-390.88107	500.0	61.92187	553.80927	200000	2399.3972759246826
747.24176	685.40125	181.49524	858.1836	-88.21364	3595.0608	930.2542	4369.244	-420.8988	500.0	61.84052	685.40125	300000	3701.2743711471558
840.2863	789.42426	155.09526	990.1625	-93.57226	4377.26	489.0308	4856.5635	-528.18744	500.0	50.862026	789.4243	400000	5004.0623915195465
936.8868	875.39185	143.71854	1059.6921	-70.11711	4768.6094	442.3217	5282.8438	-369.74634	500.0	61.4949	875.3919	500000	6294.691174030304
1000.4362	930.7118	144.52054	1122.5703	-83.18937	5117.3384	414.7988	5584.923	-451.17493	500.0	69.72441	930.7118	600000	7583.22483420372
1041.8962	957.9228	140.29312	1127.3763	56.267075	5260.458	297.7313	5661.4287	-178.62978	500.0	83.97346	957.9228	700000	8865.52798461914
1063.6428	987.2075	144.97575	1166.2316	-64.45398	5392.711	373.351	5831.6523	-309.0666	500.0	76.435356	987.20746	800000	10153.509600877762
1090.6106	1030.0331	136.00488	1205.1149	-15.62839	5536.669	422.80014	6093.836	-185.49683	500.0	60.577496	1030.0331	900000	11444.168450593948
1110.2974	1048.9751	131.99948	1204.1226	-70.38217	5663.809	360.08163	6051.348	-331.13583	500.0	61.32228	1048.9751	1000000	12745.924687862396
1154.8047	1097.2745	117.4871	1253.5786	-84.9428	5798.8687	468.48306	6244.006	-455.03326	500.0	57.530266	1097.2744	1100000	14047.30399107933
1179.0137	1121.8811	114.62586	1255.0934	-70.08301	5894.402	488.80682	6306.9736	-478.25873	500.0	57.13249	1121.8812	1200000	15351.045109033585
1209.5536	1160.0214	98.71709	1285.9336	-67.26119	6095.443	361.6776	6451.173	-386.90268	500.0	49.53216	1160.0215	1300000	16657.988844156265
1240.108	1179.3633	93.70326	1296.0983	-57.789963	6160.365	377.3337	6517.4165	-302.32632	500.0	60.74477	1179.3633	1400000	17958.52960586548
1262.2135	1194.343	129.93689	1343.9497	-60.59275	6165.226	715.4456	6716.3516	-307.26483	500.0	67.87042	1194.3431	1500000	19255.97180247307
1292.244	1258.2068	103.673584	1394.3301	-62.449596	6600.661	476.45377	6945.6973	-305.9531	500.0	34.037395	1258.2067	1600000	20569.616670131683
1330.5911	1271.71	101.21004	1411.797	-54.759727	6615.258	582.0837	7120.8457	-298.67343	500.0	58.881172	1271.7098	1700000	21885.72536087036
1356.5851	1261.7218	128.72472	1409.516	-55.359535	6518.4595	708.6117	7035.041	-300.74124	500.0	94.86337	1261.7217	1800000	23196.901636123657
1384.8951	1347.968	127.140625	1487.4944	-56.876274	7062.305	630.46204	7500.8413	-301.4812	500.0	36.927097	1347.968	1900000	24515.35677433014
1405.1204	1331.3087	171.1218	1524.9602	-54.05247	6754.0684	1322.2635	7734.774	-254.7546	500.0	73.8117	1331.3087	2000000	25833.319027900696
1435.1595	1381.9247	170.91008	1538.1365	-90.174446	7299.669	868.97546	7725.8584	-346.24997	500.0	53.234886	1381.9247	2100000	27153.52755355835
1468.1251	1360.3472	208.95415	1534.4738	-92.858765	7201.641	1007.43665	7704.716	-449.16342	500.0	107.77811	1360.347	2200000	28462.094598531723
1507.1626	1343.4126	179.87798	1512.5609	-80.45965	7142.4214	722.43896	7477.8896	-290.7548	500.0	163.75	1343.4126	2300000	29782.97247505188
1539.0018	1440.7467	218.39171	1642.3024	-79.2102	7866.008	986.6503	8333.108	-339.21783	500.0	98.25494	1440.747	2400000	31107.99007344246
1587.8267	1453.1034	205.90057	1635.9055	-73.12319	7968.5215	656.1626	8281.269	-311.05072	500.0	134.72336	1453.1033	2500000	32435.03475022316
1629.8448	1466.8281	247.50229	1663.0398	-79.197754	8078.01	1077.7043	8500.225	-400.17078	500.0	163.01674	1466.8281	2600000	33764.87012219429
1641.1874	1472.9395	272.5484	1674.386	-70.0539	8075.398	1222.8965	8517.164	-366.59476	500.0	168.24792	1472.9395	2700000	35094.63661766052
1683.6488	1501.2919	259.0761	1688.0675	-98.11532	8131.536	1119.3328	8548.523	-532.16895	500.0	182.35692	1501.2919	2800000	36427.79685544968
1696.4067	1487.1401	270.61887	1685.0785	-100.349174	7993.423	1060.3776	8469.998	-359.67496	500.0	209.26659	1487.1401	2900000	37762.26404905319
1707.5374	1489.936	251.99023	1666.2302	-79.181854	8086.895	1032.487	8451.4375	-414.04236	500.0	217.60146	1489.9359	3000000	39094.506118535995
